,admitting_diagnosis,count(admitting_diagnosis)
7481,"Follicular lymphoma, unspecified, unspecified site",1
7482,"Unspecified dislocation of right hip, initial encounter",1
7483,Diverticulosis of small intestine (without mention of hemorrhage),1
7484,Conversion disorder with seizures or convulsions,1
7485,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract, subsequent encounter",1
7486,"Unspecified superficial injury of left lower leg, initial encounter",1
7487,Exostosis of jaw,1
7488,"Trunk blister, without mention of infection",1
7489,Other dermatophytoses,1
7490,Sprain of interphalangeal (joint) of hand,1
7491,"Foot drop, left foot",1
7492,"Minor contusion of left kidney, initial encounter",1
7493,Contusion of back,1
7494,"Pregnancy related exhaustion and fatigue, unspecified trimester",1
7495,Vascular abnormalities of conjunctiva,1
7496,"Other multiple, mates all liveborn, born in hospital, delivered without mention of cesarean delivery",1
7497,Cutaneous diseases due to other mycobacteria,1
7498,Injury to ulnar nerve,1
7499,"Other immediate postpartum hemorrhage, with delivery",1
7500,Hungry bone syndrome,1
7501,Osteomyelofibrosis,1
7502,"Closed dislocation, other location",1
7503,"Solitary bone cyst, right humerus",1
7504,Other specified polyneuropathies,1
7505,"Other and unspecified disorder of breast associated with childbirth, antepartum condition or complication",1
7506,"Other umbilical cord complications during labor and delivery, delivered",1
7507,Atypical face pain,1
7508,"Cholesteatoma of mastoid, right ear",1
7509,"Cocaine abuse, unspecified",1
7510,"Infection of other part of genital tract in pregnancy, third trimester",1
7511,Androgen insensitivity syndrome,1
7512,"Corrosion of cornea and conjunctival sac, right eye, initial encounter",1
7513,Other chronic disease of tonsils and adenoids,1
7514,"Obstructed labor, unspecified",1
7515,Complex regional pain syndrome I of unspecified upper limb,1
7516,Open fracture of dorsal (thoracic) vertebra without mention of spinal cord injury,1
7517,Chronic embolism and thrombosis of left femoral vein,1
7518,"Other chronic nonsuppurative otitis media, left ear",1
7519,"Poisoning by 4-aminophenol derivatives, undetermined, initial encounter",1
7520,"Other tear of medial meniscus, current injury, right knee, sequela",1
7521,Influenza due to other identified influenza virus with other respiratory manifestations,1
7522,"Burn of first degree of nose (septum), initial encounter",1
7523,"Other epilepsy, not intractable, without status epilepticus",1
7524,Onychogryphosis,1
7525,Other osteonecrosis of right ulna,1
7526,Electrolyte and fluid disorders not elsewhere classified,1
7527,"Toxic effect of unspecified alcohol, undetermined, initial encounter",1
7528,"Collapsed vertebra, not elsewhere classified, thoracic region, subsequent encounter for fracture with delayed healing",1
7529,Gastroenteritis and colitis due to radiation,1
7530,Pain in unspecified limb,1
7531,Personal history of malignant neoplasm of unspecified digestive organ,1
7532,"Motorcycle rider (driver) (passenger) injured in unspecified traffic accident, subsequent encounter",1
7533,Granuloma inguinale,1
7534,Intracranial abscess and granuloma,1
7535,Acute embolism and thrombosis of inferior vena cava,1
7536,"Displaced spiral fracture of shaft of right tibia, subsequent encounter for closed fracture with delayed healing",1
7537,Squamous cell carcinoma of skin of left ear and external auricular canal,1
7538,"Effusion, left hand",1
7539,"Unspecified open wound of left thumb with damage to nail, initial encounter",1
7540,Prolapsed urethral mucosa,1
7541,Candidal sepsis,1
7542,"Breakdown (mechanical) of surgically created arteriovenous fistula, initial encounter",1
7543,"Fracture of vault of skull, initial encounter for open fracture",1
7544,"Effusion of joint, site unspecified",1
7545,"Malignant neoplasm of meninges, unspecified",1
7546,"Other lymphoid leukemia, in relapse",1
7547,"Diffuse traumatic brain injury without loss of consciousness, initial encounter",1
7548,Herpes simplex without mention of complication,1
7549,Neuromyelitis optica (devic),1
7550,"Poisoning by local anesthetics, undetermined, initial encounter",1
7551,"Displaced fracture of medial phalanx of right index finger, initial encounter for open fracture",1
7552,"Displaced trimalleolar fracture of right lower leg, sequela",1
7553,"Laceration of other flexor muscle, fascia and tendon at forearm level, right arm, initial encounter",1
7554,"Disorder of ligament, right foot",1
7555,Acute cor pulmonale,1
7556,"Other lesions of median nerve, unspecified upper limb",1
7557,"Family history of malignant neoplasm, unspecified",1
7558,"Other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",1
7559,"Hemiplegia, unspecified affecting unspecified side",1
7560,"Dislocation of metatarsophalangeal joint of left lesser toe(s), initial encounter",1
7561,Personal history of antineoplastic chemotherapy,1
7562,Open fracture of angle of jaw,1
7563,"Unspecified injury of face, subsequent encounter",1
7564,"Other specified complications of surgical and medical care, not elsewhere classified, subsequent encounter",1
7565,"Dry mouth, unspecified",1
7566,Poisoning by other specified psychotropic agents,1
7567,Allergic contact dermatitis due to other agents,1
7568,Other specified disorders of ankle and foot joint,1
7569,Unspecified spontaneous abortion complicated by delayed or excessive hemorrhage,1
7570,Hallux varus (acquired),1
7571,"Unspecified fracture of occiput, initial encounter for closed fracture",1
7572,Acquired absence of knee joint,1
7573,"Superficial foreign body of lower back and pelvis, initial encounter",1
7574,Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining conscio,1
7575,"Other specified sprain of left wrist, subsequent encounter",1
7576,Ankylosing spondylitis of thoracic region,1
7577,Other choreas,1
7578,"Pre-existing essential hypertension complicating pregnancy, first trimester",1
7579,Lipoma of unspecified site,1
7580,"Strain of muscle, fascia and tendon of long head of biceps, left arm, initial encounter",1
7581,"Chondromalacia, left elbow",1
7582,Poisoning by selective serotonin reuptake inhibitors,1
7583,Carrier or suspected carrier of methicillin resistant Staphylococcus aureus,1
7584,Aneurysm of subclavian artery,1
7585,"Burn of unspecified degree of abdominal wall, initial encounter",1
7586,"Burn of first degree of left elbow, initial encounter",1
7587,Pericardial effusion (noninflammatory),1
7588,"Leakage of aortic (bifurcation) graft (replacement), subsequent encounter",1
7589,"Wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing",1
7590,"Unspecified purulent endophthalmitis, left eye",1
7591,"Pyogenic arthritis, hand",1
7592,Crushing injury of unspecified site of trunk,1
7593,"Contusion of other intra-abdominal organs, initial encounter",1
7594,Aftercare for healing traumatic fracture of lower leg,1
7595,"Spontaneous rupture of extensor tendons, left lower leg",1
7596,"Superficial foreign body of left ring finger, initial encounter",1
7597,"Pressure ulcer of left heel, stage 3",1
7598,"Other synovitis and tenosynovitis, left shoulder",1
7599,Postpartum care and examination immediately after delivery,1
7600,"Strain of right Achilles tendon, subsequent encounter",1
7601,"Nondisplaced type ii dens fracture, initial encounter for closed fracture",1
7602,"Unspecified viral infection, in conditions classified elsewhere and of unspecified site",1
7603,Polydactyly of fingers,1
7604,"Displaced oblique fracture of shaft of left tibia, initial encounter for closed fracture",1
7605,Personal history of pre-term labor,1
7606,"Flaccid neuropathic bladder, not elsewhere classified",1
7607,Colostomy infection,1
7608,"Long labor, unspecified",1
7609,"Puncture wound without foreign body of right middle finger without damage to nail, initial encounter",1
7610,"Adverse effect of anticoagulants, initial encounter",1
7611,Other congenital malformations of pharynx,1
7612,Planned postoperative wound closure,1
7613,"Generalized osteoarthrosis, involving hand",1
7614,Severe atrophy of the mandible,1
7615,Other anxiety states,1
7616,"Pregnancy care for patient with recurrent pregnancy loss, second trimester",1
7617,Inflammatory disorder of unspecified male genital organ,1
7618,"Postlaminectomy syndrome, thoracic region",1
7619,Acquired absence of right breast and nipple,1
7620,"Laceration without foreign body of right little finger without damage to nail, subsequent encounter",1
7621,"Unilateral post-traumatic osteoarthritis of first carpometacarpal joint, right hand",1
7622,Irritability and anger,1
7623,"Sprain of other part of left wrist and hand, subsequent encounter",1
7624,Cardiac complications of anesthesia during the puerperium,1
7625,Congenital malformations of intestinal fixation,1
7626,"Unspecified fracture of unspecified forearm, initial encounter for closed fracture",1
7627,"Displaced osteochondral fracture of right patella, initial encounter for closed fracture",1
7628,"Chronic lymphoid leukemia, in relapse",1
7629,"Fracture of ramus of mandible, initial encounter for open fracture",1
7630,Other acute reactions to stress,1
7631,"Unilateral osteoarthritis resulting from hip dysplasia, left hip",1
7632,"Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter",1
7633,"Blister (nonthermal), left lower leg, initial encounter",1
7634,Lymphocytopenia,1
7635,Other biomechanical lesions of cervical region,1
7636,"Coronary atherosclerosis of unspecified type of vessel, native or graft",1
7637,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,1
7638,"Sprain of posterior cruciate ligament of right knee, initial encounter",1
7639,Acute mastoiditis without complications,1
7640,Other specified inflammation of vagina and vulva,1
7641,"Complete loss of teeth, unspecified cause, unspecified class",1
7642,Influenza due to unidentified influenza virus with specified pneumonia,1
7643,Rheumatoid myopathy with rheumatoid arthritis of left hand,1
7644,"Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter",1
7645,"Primary osteoarthritis, unspecified hand",1
7646,"Infections of bladder in pregnancy, unspecified trimester",1
7647,"Cystic meniscus, unspecified medial meniscus, left knee",1
7648,Fetal and neonatal gastrointestinal hemorrhage,1
7649,"Open bite of left ear, initial encounter",1
7650,"Contusion of left index finger without damage to nail, initial encounter",1
7651,Anisocoria,1
7652,"Chronic myringitis, left ear",1
7653,"Other and unspecified superficial injury of hand(s) except finger(s) alone, infected",1
7654,"Strain of other muscle(s) and tendon(s) at lower leg level, right leg, initial encounter",1
7655,"Muscle wasting and atrophy, not elsewhere classified, left hand",1
7656,"Displaced oblique fracture of shaft of right fibula, initial encounter for closed fracture",1
7657,Special screening examination for other specified viral diseases,1
7658,"Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with malunion",1
